County,Years,Population
Lake,2012,299677
Lee,2012,638029
Leon,2012,277670
Levy,2012,40339
Liberty,2012,8519
Madison,2012,19227
Manatee,2012,330302
Marion,2012,332989
Martin,2012,147203
Miami-Dade,2012,2551290
Monroe,2012,72897
Nassau,2012,73745
Okaloosa,2012,187280
Okeechobee,2012,39805
Orange,2012,1175941
Osceola,2012,280866
Palm Beach,2012,1335415
Pasco,2012,468562
Pinellas,2012,920381
Polk,2012,606888
Putnam,2012,73158
Santa Rosa,2012,196071
Sarasota,2012,280355
Seminole,2012,155390
St. Johns,2012,383664
St. Lucie,2012,428104
Sumter,2012,100198
Suwannee,2012,43796
Taylor,2012,22898
Union,2012,15510
Volusia,2012,497145
Wakulla,2012,30771
Walton,2012,56965
Washington,2012,24922
Florida Total,2012,19074434
Alachua,2011,247337
Baker,2011,26927
Bay,2011,169278
Bradford,2011,28662
Brevard,2011,545184
Broward,2011,1753162
Calhoun,2011,14685
Charlotte,2011,160463
Citrus,2011,140956
Clay,2011,191143
Collier,2011,323785
Columbia,2011,67528
DeSoto,2011,34708
Dixie,2011,16385
Duval,2011,864601
Escambia,2011,299261
Flagler,2011,96241
Franklin,2011,11527
Gadsden,2011,48200
Gilchrist,2011,16983
Glades,2011,12812
Gulf,2011,15789
Hamilton,2011,14744
Hardee,2011,27653
Hendry,2011,38908
Hernando,2011,173078
Highlands,2011,98712
Hillsborough,2011,1238951
Holmes,2011,19901
Indian River,2011,138694
Jackson,2011,49964
Jefferson,2011,14666
Lafayette,2011,8752
Lake,2011,298265
Lee,2011,625310
Leon,2011,276278
Levy,2011,40767
Liberty,2011,8370
Madison,2011,19298
Manatee,2011,325905
Marion,2011,331745
Martin,2011,146689
Miami-Dade,2011,2516537
Monroe,2011,72670
Nassau,2011,73684
Okaloosa,2011,181679
Okeechobee,2011,39870
Orange,2011,1157342
Osceola,2011,273867
Palm Beach,2011,1325758
Pasco,2011,466533
Pinellas,2011,918496
Polk,2011,604792
Putnam,2011,74052
Santa Rosa,2011,192852
Sarasota,2011,279696
Seminole,2011,154901
St. Johns,2011,381319
St. Lucie,2011,424587
Sumter,2011,96615
Suwannee,2011,43215
Taylor,2011,22500
Union,2011,15473
Volusia,2011,495400
Wakulla,2011,30877
Walton,2011,55450
Washington,2011,24638
Florida Total,2011,18905070
