County,Years,Count,Rate
St. Johns,2016,43,16.191419848493
St. Lucie,2016,51,15.7025637616961
Santa Rosa,2016,43,25.0075300738302
Sarasota,2016,91,19.6894705135941
Seminole,2016,71,14.3549895556683
Sumter,2016,19,14.312631821348
Suwannee,2016,6,10.6746769587906
Taylor,2016,4,14.1505107222247
Union,2016,6,33.0880152925378
Volusia,2016,103,18.201780955104
Wakulla,2016,7,21.1071657926241
Walton,2016,15,23.8638645599435
Washington,2016,8,26.8561671834329
Florida,2015,3152,14.4467646444315
Alachua,2015,31,12.9086123020983
Baker,2015,3,9.21712054891985
Bay,2015,37,20.1118158651741
Bradford,2015,7,28.2464136825012
Brevard,2015,139,22.0981699862042
Broward,2015,220,11.1013255504291
Calhoun,2015,1,8.29222493493688
Charlotte,2015,37,20.7507336711799
Citrus,2015,30,18.2355418808822
Clay,2015,30,13.741000398501
Collier,2015,44,11.1874108893289
Columbia,2015,10,14.1693479692049
Miami-Dade,2015,261,8.84202354959136
DeSoto,2015,7,17.3961348741564
Dixie,2015,5,23.9043157128865
Duval,2015,161,17.4059793889308
Escambia,2015,53,16.3845605769347
Flagler,2015,26,24.6849319437831
Franklin,2015,3,19.1040959470637
Gadsden,2015,7,11.5327739155824
Gilchrist,2015,4,17.0441543401168
Glades,2015,3,23.0006284807903
Gulf,2015,7,36.1484449777713
Hamilton,2015,1,7.14293993677555
Hardee,2015,4,13.3734196749817
Hendry,2015,9,23.8676031854187
Hernando,2015,39,21.1726736888514
Highlands,2015,18,16.6494379839658
Hillsborough,2015,199,14.2905143730635
Holmes,2015,3,15.5489956378512
Indian River,2015,17,7.92929445174122
Jackson,2015,11,21.8801315452148
Jefferson,2015,3,21.9592006848691
Lafayette,2015,1,11.1547263681592
Lake,2015,52,13.583948754996
Lee,2015,121,16.6976361166222
Leon,2015,33,12.1495872260822
Levy,2015,12,22.4200633918023
Liberty,2015,0,0
Madison,2015,3,14.8454052375818
Manatee,2015,61,15.2512736504935
Marion,2015,78,23.5974333659008
Martin,2015,22,10.2549889802953
Monroe,2015,21,23.8084223413665
Nassau,2015,18,20.0767188524593
Okaloosa,2015,37,18.2841891819018
Okeechobee,2015,4,10.7358076317654
Orange,2015,136,10.5130203049391
Osceola,2015,29,9.63781189497981
Palm Beach,2015,229,15.5394473115819
Pasco,2015,103,18.316048557151
Pinellas,2015,199,17.9634948440959
Polk,2015,97,14.5413329456669
Putnam,2015,12,14.8722366073311
St. Johns,2015,40,18.5494877403998
St. Lucie,2015,54,18.0503647561293
Santa Rosa,2015,29,17.3252374390104
Sarasota,2015,96,20.8378492276309
Seminole,2015,56,10.9585498700871
Sumter,2015,13,13.9489129375337
Suwannee,2015,10,20.0228234931299
Taylor,2015,4,14.1763516543387
Union,2015,3,28.0792995850035
Volusia,2015,124,22.3282048325425
Wakulla,2015,4,14.0714376397336
Walton,2015,11,19.7448412338514
Washington,2015,3,13.3031263033079
Florida,2014,2961,13.7594023867004
Alachua,2014,37,13.516771228255
Baker,2014,5,19.1116959353898
Bay,2014,43,24.1599976794274
Bradford,2014,3,11.7368537261572
Brevard,2014,114,17.1555864990184
Broward,2014,214,10.6154342436756
Calhoun,2014,1,8.34768993839834
Charlotte,2014,28,18.7998528615566
