County,Years,Gender,Rate,Count
Osceola,2017,Male,19,32
Palm Beach,2017,Male,18.3,142
Pasco,2017,Male,28,76
Pinellas,2017,Male,24.9,130
Polk,2017,Male,21.7,74
Putnam,2017,Male,41,16
St. Johns,2017,Male,31.4,41
St. Lucie,2017,Male,22.3,38
Santa Rosa,2017,Male,25.1,24
Sarasota,2017,Male,28.9,65
Seminole,2017,Male,21.1,48
Sumter,2017,Male,14.8,14
Suwannee,2017,Male,44.8,11
Taylor,2017,Male,44.5,6
Union,2017,Male,28,4
Volusia,2017,Male,36.6,96
Wakulla,2017,Male,31.8,6
Walton,2017,Male,26.2,10
Washington,2017,Male,35.4,5
Alachua,2016,Male,23.5,25
Baker,2016,Male,31.7,5
Bay,2016,Male,34.3,31
Bradford,2016,Male,6.3,1
Brevard,2016,Male,33.3,96
Broward,2016,Male,18.7,179
Calhoun,2016,Male,10.6,1
Charlotte,2016,Male,28.7,31
Citrus,2016,Male,37.3,25
Clay,2016,Male,32.2,31
Collier,2016,Male,17.6,38
Columbia,2016,Male,23.3,8
Miami-Dade,2016,Male,13.4,187
DeSoto,2016,Male,23.4,6
Dixie,2016,Male,21.1,2
Duval,2016,Male,21.1,101
Escambia,2016,Male,23.5,37
Flagler,2016,Male,23.4,11
Franklin,2016,Male,15.1,1
Gadsden,2016,Male,6.8,2
Gilchrist,2016,Male,46.3,3
Glades,2016,Male,38.3,3
Gulf,2016,Male,10.5,1
Hamilton,2016,Male,35.3,2
Hardee,2016,Male,35.8,5
Hendry,2016,Male,26.1,5
Hernando,2016,Male,30.6,31
Highlands,2016,Male,35.6,22
Hillsborough,2016,Male,18.2,122
Holmes,2016,Male,31.3,4
Indian River,2016,Male,22.8,22
Jackson,2016,Male,6.7,2
Jefferson,2016,Male,27.6,2
Lafayette,2016,Male,0,0
Lake,2016,Male,20.8,42
Lee,2016,Male,24,88
Leon,2016,Male,13.6,18
Levy,2016,Male,12.5,4
Liberty,2016,Male,12.7,1
Madison,2016,Male,0,0
Manatee,2016,Male,29.4,58
Marion,2016,Male,27.9,52
Martin,2016,Male,33.3,26
Monroe,2016,Male,32.2,14
Nassau,2016,Male,45.7,16
Okaloosa,2016,Male,38.7,36
Okeechobee,2016,Male,25.3,7
Orange,2016,Male,15.4,97
Osceola,2016,Male,17,27
Palm Beach,2016,Male,21.6,156
Pasco,2016,Male,27.4,78
Pinellas,2016,Male,26.7,141
Polk,2016,Male,21.1,70
Putnam,2016,Male,33.2,11
St. Johns,2016,Male,23.2,31
St. Lucie,2016,Male,26.1,42
Santa Rosa,2016,Male,36,32
Sarasota,2016,Male,32.2,73
Seminole,2016,Male,22.1,53
Sumter,2016,Male,24.3,17
Suwannee,2016,Male,14,4
Taylor,2016,Male,29.2,4
Union,2016,Male,39.4,4
Volusia,2016,Male,24.5,71
Wakulla,2016,Male,34.7,6
Walton,2016,Male,42.7,14
Washington,2016,Male,41.2,7
Alachua,2015,Male,19.2,21
Baker,2015,Male,5.3,1
Bay,2015,Male,31.1,28
Bradford,2015,Male,49.9,7
Brevard,2015,Male,31.5,100
Broward,2015,Male,18.3,170
Calhoun,2015,Male,0,0
Charlotte,2015,Male,33.6,28
Citrus,2015,Male,26.5,23
Clay,2015,Male,19.4,20
Collier,2015,Male,18.4,37
Columbia,2015,Male,27.5,10
Miami-Dade,2015,Male,14.7,202
DeSoto,2015,Male,27.7,6
Dixie,2015,Male,38.2,4
Duval,2015,Male,29.4,128
Escambia,2015,Male,23.6,38
Flagler,2015,Male,38.7,20
Franklin,2015,Male,20.7,2
Gadsden,2015,Male,26.6,7
Gilchrist,2015,Male,22.3,3
Glades,2015,Male,6.5,1
Gulf,2015,Male,57.9,6
Hamilton,2015,Male,0,0
Hardee,2015,Male,25.3,4
Hendry,2015,Male,37.3,7
Hernando,2015,Male,29.5,28
Highlands,2015,Male,29.5,16
Hillsborough,2015,Male,24.4,159
Holmes,2015,Male,27.4,3
Indian River,2015,Male,14.6,14
Jackson,2015,Male,29.9,9
Jefferson,2015,Male,48.2,3
Lafayette,2015,Male,23.2,1
Lake,2015,Male,17.3,32
Lee,2015,Male,26.5,98
Leon,2015,Male,20.9,27
Levy,2015,Male,47.2,12
Liberty,2015,Male,0,0
Madison,2015,Male,19.1,2
Manatee,2015,Male,21.5,43
Marion,2015,Male,37.5,61
Martin,2015,Male,12.9,13
Monroe,2015,Male,42.2,20
Nassau,2015,Male,27.2,13
Okaloosa,2015,Male,27.7,29
Okeechobee,2015,Male,13.6,3
Orange,2015,Male,16.5,101
Osceola,2015,Male,17.3,24
Palm Beach,2015,Male,21.6,156
Pasco,2015,Male,27,74
Pinellas,2015,Male,28.2,150
Polk,2015,Male,23.5,77
Putnam,2015,Male,24.6,10
St. Johns,2015,Male,30.5,32
