,year,record,age,grade,consideration,plan,attempt
2402,2001,1315197,4.0,1.0,1.0,1.0,1.0
2407,2001,1315202,4.0,1.0,1.0,1.0,1.0
2424,2001,1315219,4.0,1.0,1.0,1.0,1.0
2432,2001,1315227,4.0,1.0,1.0,1.0,1.0
2437,2001,1315232,4.0,2.0,2.0,1.0,1.0
2440,2001,1315235,4.0,2.0,1.0,1.0,1.0
2444,2001,1315239,4.0,2.0,2.0,1.0,1.0
2459,2001,1315254,4.0,1.0,1.0,1.0,1.0
2460,2001,1315255,4.0,1.0,1.0,1.0,1.0
2478,2001,1315273,4.0,1.0,1.0,1.0,1.0
2486,2001,1315281,4.0,1.0,1.0,1.0,1.0
2497,2001,1315292,4.0,2.0,1.0,1.0,1.0
2499,2001,1315294,4.0,1.0,1.0,1.0,1.0
2505,2001,1315300,4.0,1.0,1.0,1.0,1.0
2517,2001,1315312,4.0,1.0,1.0,1.0,1.0
2526,2001,1315321,4.0,1.0,1.0,2.0,1.0
2527,2001,1315322,4.0,1.0,1.0,2.0,1.0
2530,2001,1315325,4.0,1.0,1.0,2.0,1.0
2543,2001,1315338,4.0,1.0,1.0,1.0,1.0
2550,2001,1315345,4.0,1.0,1.0,1.0,1.0
2558,2001,1315353,4.0,1.0,1.0,1.0,1.0
2567,2001,1315362,4.0,1.0,1.0,1.0,1.0
2573,2001,1315368,4.0,1.0,1.0,1.0,1.0
2585,2001,1315380,4.0,1.0,1.0,1.0,1.0
2589,2001,1315384,4.0,1.0,1.0,2.0,1.0
2601,2001,1315396,4.0,1.0,1.0,1.0,1.0
2615,2001,1315410,4.0,1.0,1.0,2.0,1.0
2622,2001,1315417,4.0,2.0,1.0,1.0,1.0
2623,2001,1315418,4.0,1.0,1.0,1.0,1.0
2624,2001,1315419,4.0,1.0,1.0,1.0,1.0
2676,2001,1315471,4.0,1.0,1.0,1.0,1.0
2710,2001,1315505,4.0,2.0,1.0,1.0,1.0
2714,2001,1315509,4.0,1.0,1.0,1.0,1.0
2715,2001,1315510,4.0,1.0,1.0,1.0,1.0
2724,2001,1315519,4.0,2.0,1.0,2.0,1.0
2725,2001,1315520,4.0,1.0,1.0,1.0,1.0
2761,2001,1315556,4.0,1.0,1.0,2.0,1.0
2772,2001,1315567,4.0,1.0,1.0,1.0,1.0
2785,2001,1315580,4.0,1.0,1.0,1.0,1.0
2787,2001,1315582,4.0,2.0,1.0,1.0,1.0
2790,2001,1315585,4.0,2.0,1.0,1.0,1.0
2794,2001,1315589,4.0,1.0,1.0,1.0,1.0
2813,2001,1315608,4.0,1.0,1.0,1.0,1.0
2825,2001,1315620,4.0,2.0,1.0,1.0,1.0
2831,2001,1315626,4.0,2.0,1.0,1.0,1.0
2838,2001,1315633,4.0,1.0,1.0,1.0,1.0
2841,2001,1315636,4.0,1.0,1.0,1.0,1.0
2861,2001,1315656,4.0,2.0,1.0,1.0,1.0
2883,2001,1315678,4.0,1.0,1.0,1.0,1.0
2886,2001,1315681,4.0,2.0,1.0,1.0,1.0
2895,2001,1315690,4.0,1.0,1.0,1.0,1.0
2904,2001,1616321,5.0,3.0,1.0,2.0,1.0
2908,2001,1616325,5.0,2.0,1.0,2.0,1.0
2917,2001,1616334,5.0,2.0,1.0,1.0,1.0
2921,2001,1616338,5.0,2.0,1.0,1.0,1.0
2940,2001,1616357,5.0,2.0,1.0,1.0,1.0
2941,2001,1616358,5.0,1.0,1.0,1.0,1.0
2948,2001,1616365,5.0,2.0,1.0,1.0,1.0
2954,2001,1616371,5.0,2.0,1.0,1.0,1.0
2956,2001,1616373,5.0,2.0,1.0,1.0,1.0
2966,2001,1616383,5.0,2.0,1.0,2.0,1.0
2979,2001,1616396,5.0,2.0,1.0,2.0,1.0
2989,2001,1616406,5.0,1.0,2.0,2.0,1.0
3004,2001,1616421,5.0,1.0,1.0,1.0,1.0
3005,2001,1616422,5.0,1.0,2.0,2.0,1.0
3009,2001,1616426,5.0,2.0,1.0,1.0,1.0
3017,2001,1616434,5.0,2.0,1.0,1.0,1.0
3023,2001,1616440,5.0,2.0,1.0,1.0,1.0
3037,2001,1616454,5.0,2.0,1.0,1.0,1.0
3053,2001,1616470,5.0,2.0,1.0,1.0,1.0
3056,2001,1616473,5.0,2.0,1.0,1.0,1.0
3059,2001,1616476,5.0,2.0,1.0,1.0,1.0
3076,2001,1616493,5.0,2.0,1.0,1.0,1.0
3082,2001,1616499,5.0,1.0,1.0,2.0,1.0
3085,2001,1616502,5.0,2.0,1.0,1.0,1.0
3095,2001,1616512,5.0,2.0,1.0,1.0,1.0
3099,2001,1616516,5.0,3.0,1.0,1.0,1.0
3109,2001,1616526,5.0,1.0,1.0,1.0,1.0
3125,2001,1616542,5.0,3.0,1.0,1.0,1.0
3126,2001,1616543,5.0,2.0,2.0,1.0,1.0
3132,2001,1616549,5.0,2.0,1.0,1.0,1.0
3142,2001,1616559,5.0,3.0,1.0,1.0,1.0
3184,2001,1616601,5.0,2.0,1.0,1.0,1.0
3200,2001,1616617,5.0,1.0,1.0,1.0,1.0
3233,2001,1616650,5.0,2.0,1.0,1.0,1.0
3239,2001,1616656,5.0,2.0,1.0,1.0,1.0
3250,2001,1616667,5.0,2.0,1.0,2.0,1.0
