"Suicides by Drug Poisoning, Rate Per 100,000 Population",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Indian River,3,"158,238",1.9,,5,"155,308",3.2,2.8,3,"152,079",2,,3,"149,930",2,,5,"147,163.00",3.4,3,5,"144,062",3.5,3,5,"141,468",3.5,3.1,3,"139,787",2.1,,4,139487,2.9,,0,"138,913",0,
Jackson,2,"47,171",4.2,,0,"50,325",0,,0,"50,689",0,,2,"50,303",4,,0,"50,311.00",0,,1,"50,461",2,,1,"50,282",2,,1,"50,202",2,,1,49897,2,,1,"49,949",2,
Jefferson,0,"14,831",0,,3,"14,842",20.2,,0,"14,725",0,,1,"14,530",6.9,,0,"14,501.00",0,,0,"14,506",0,,0,"14,583",0,,0,"14,579",0,,0,14475,0,,0,"14,614",0,
Lafayette,0,"8,721",0,,0,"8,613",0,,0,"8,367",0,,0,"8,651",0,,0,"8,620.00",0,,0,"8,649",0,,0,"8,700",0,,0,"8,632",0,,0,8647,0,,0,"8,712",0,
Lake,7,"368,828",1.9,1.4,13,"354,537",3.7,2,8,"342,356",2.3,1.6,10,"333,598",3,1.9,3,"325,887.00",0.9,,10,"318,366",3.1,1.9,10,"311,436",3.2,2,7,"304,740",2.3,1.7,4,300314,1.3,,4,"298,509",1.3,
Lee,22,"756,912",2.9,1.2,18,"734,630",2.5,1.1,5,"721,053",0.7,0.6,16,"700,837",2.3,1.1,10,"684,465.00",1.5,0.9,14,"669,297",2.1,1.1,20,"656,466",3,1.3,11,"645,271",1.7,1,18,639878,2.8,1.3,17,"628,356",2.7,1.3
Leon,3,"300,519",1,,4,"296,717",1.3,,4,"290,223",1.4,,4,"291,879",1.4,,3,"288,495.00",1,,2,"285,233",0.7,,0,"282,109",0,,4,"278,909",1.4,,4,277824,1.4,,2,"276,621",0.7,
Levy,1,"41,634",2.4,,0,"41,354",0,,0,"41,550",0,,1,"40,832",2.4,,0,"40,599.00",0,,1,"40,457",2.5,,2,"40,479",4.9,,2,"40,350",5,,1,40282,2.5,,1,"40,673",2.5,
Liberty,0,"8,774",0,,0,"9,167",0,,0,"8,781",0,,0,"8,839",0,,0,"8,754.00",0,,0,"8,701",0,,0,"8,693",0,,0,"8,514",0,,0,8516,0,,0,"8,406",0,
Madison,0,"19,254",0,,0,"19,533",0,,0,"19,420",0,,0,"19,295",0,,0,"19,252.00",0,,1,"19,200",5.2,,0,"19,265",0,,0,"19,400",0,,0,19256,0,,0,"19,285",0,
Manatee,9,"397,727",2.3,1.5,8,"388,729",2.1,1.4,9,"381,071",2.4,1.5,8,"367,130",2.2,1.5,11,"359,486.00",3.1,1.8,8,"351,617",2.3,1.6,11,"341,782",3.2,1.9,19,"334,924",5.7,2.6,5,331243,1.5,1.3,8,"326,968",2.4,1.7
Marion,11,"367,247",3,1.8,8,"360,053",2.2,1.5,12,"355,325",3.4,1.9,4,"352,067",1.1,,9,"346,956.00",2.6,1.7,9,"342,290",2.6,1.7,10,"338,269",3,1.8,8,"335,551",2.4,1.7,7,333446,2.1,1.6,7,"331,959",2.1,1.6
Martin,5,"161,017",3.1,2.7,5,"158,006",3.2,2.8,2,"155,705",1.3,,3,"152,333",2,,5,"151,081.00",3.3,2.9,4,"150,331",2.7,,4,"148,900",2.7,,8,"148,189",5.4,3.7,1,147427,0.7,,6,"146,778",4.1,3.3
Monroe,2,"76,280",2.6,,3,"73,253",4.1,,3,"76,534",3.9,,1,"77,300",1.3,,0,"76,461.00",0,,1,"74,551",1.3,,1,"74,028",1.4,,5,"73,735",6.8,5.9,3,73039,4.1,,4,"72,668",5.5,
Nassau,2,"87,389",2.3,,1,"85,135",1.2,,2,"83,125",2.4,,0,"79,592",0,,0,"78,174.00",0,,2,"76,867",2.6,,1,"75,569",1.3,,2,"74,841",2.7,,0,73922,0,,0,"73,671",0,
Okaloosa,3,"204,326",1.5,,3,"201,104",1.5,,3,"198,409",1.5,,5,"194,811",2.6,2.2,0,"193,247.00",0,,7,"192,118",3.6,2.7,4,"191,126",2.1,,2,"188,758",1.1,,3,187920,1.6,,5,"182,951",2.7,2.4
Okeechobee,1,"42,187",2.4,,0,"41,347",0,,1,"41,492",2.4,,1,"41,469",2.4,,2,"40,983.00",4.9,,0,"40,208",0,,3,"39,851",7.5,,1,"39,770",2.5,,1,39790,2.5,,2,"39,845",5,
Orange,14,"1,426,631",1,0.5,22,"1,389,297",1.6,0.7,19,"1,370,447",1.4,0.6,16,"1,317,704",1.2,0.6,19,"1,287,703.00",1.5,0.7,22,"1,259,067",1.7,0.7,26,"1,233,931",2.1,0.8,18,"1,209,579",1.5,0.7,25,1182287,2.1,0.8,23,"1,161,006",2,0.8
